Order ID,Branch Location,Business Name,Is Deleted,Item ID,Item Name,Item Price,Order Item Number,Item Status,Packed Quantity,Quantity,Total Price,Order Date,Order Region,Order Local Area
4672,Lagos,Generic Stores,FALSE,60a7b0242498ec1dd380508c,Golden Penny Spaghetti - 500g,4950,MLPLOCN1FAHUIYK50S0W9YUQ,Cancelled,1,1,4950,5/31/2021,Lagos,Ifako-Ijaye
4672,Lagos,MUL,FALSE,6076c792a6000742949a819c,DANO COOLCOW SACHET - 12X380g,3392.75,ML1DN3SZT8R02DKKNKBLXDXA,Cancelled,2,2,6785.5,5/31/2021,Lagos,Ifako-Ijaye
4671,Lagos,MUL,FALSE,6076c792a6000742949a819c,DANO COOLCOW SACHET - 12X380g,3392.75,ML2UMJU6I2P0O958PKZ9AMDQ,Cancelled,1,1,3392.75,5/31/2021,Lagos,Ifako-Ijaye
4670,Lagos,TDILIFE  ,FALSE,608045d069c51b4e80e70343,HOLLANDIA EVAP MILK FULL CREAM 60g X 48,3370,MLDFDZKVPFV0SHDGGA2KFNRG,Delivered,1,1,3370,5/31/2021,Lagos,Ifako-Ijaye
4670,Lagos,TDILIFE  ,FALSE,608042a469c51b4e80e702f7,HOLLANDIA EVAP MILK FULL CREAM 190g X 24,4845,MLFLBFFM0O5UAS0MROFAL0QA,Cancelled,1,1,4845,5/31/2021,Lagos,Ifako-Ijaye
4670,Lagos,TDILIFE  ,FALSE,608043c969c51b4e80e70314,HOLLANDIA EVAP MILK FULL CREAM 120g X 24,2760,ML39SRTWZAW0QRQZCVEUBCGW,Delivered,1,1,2760,5/31/2021,Lagos,Ifako-Ijaye
4669,Lagos,MUL,FALSE,6076c792a6000742949a819c,DANO COOLCOW SACHET - 12X380g,3392.75,ML2O0EB2MZNKSXAPFEKGG0JW,Cancelled,2,2,6785.5,5/31/2021,Lagos,Ifako-Ijaye
4669,Lagos,Generic Stores,FALSE,60a7b0242498ec1dd380508c,Golden Penny Spaghetti - 500g,4950,MLJG03AA1NG0Y1EZBKFH88SG,Cancelled,1,1,4950,5/31/2021,Lagos,Alimosho
4668,Lagos,TDILIFE  ,FALSE,60b0cef62498ec1dd3805329,CHIVITA HAPPY HOUR - 150MLX24,1076.25,ML03X81AHZV026P0L0BCTSLW,Cancelled,1,1,1076.25,5/31/2021,Lagos,Alimosho
4668,Lagos,TDILIFE  ,FALSE,60b4d9352498ec1dd38053b6,CHIVITA ACTIVE 1LX10,4253.75,MLL1NIQOQDTEMWTIE07D20JW,Cancelled,1,1,4253.75,5/31/2021,Lagos,Alimosho
